Date,Dividends
1980-05-07,0.081250
1980-08-07,0.087500
1980-11-05,0.093750
1981-02-03,0.093750
1981-05-11,0.093750
1981-08-07,0.093750
1981-11-05,0.093750
1982-02-03,0.187500
1982-05-07,0.093750
1982-08-09,0.093750
1982-11-05,0.093750
1983-02-04,0.093750
1983-05-09,0.093750
1983-08-09,0.100000
1983-11-04,0.100000
1984-02-06,0.100000
1984-05-08,0.106250
1984-08-07,0.106250
1984-11-02,0.106250
1985-02-04,0.106250
1985-05-07,0.106250
1985-08-07,0.106250
1985-11-05,0.112500
1986-02-04,0.112500
1986-05-07,0.112500
1986-08-07,0.112500
1986-11-05,0.112500
1987-02-04,0.112500
1987-05-07,0.112500
1987-08-07,0.125000
1987-11-05,0.125000
1988-02-05,0.125000
1988-05-09,0.137500
1988-08-09,0.137500
1988-11-07,0.137500
1989-02-06,0.137500
1989-05-09,0.137500
1989-08-08,0.150000
1989-11-07,0.150000
1990-02-06,0.150000
1990-05-08,0.150000
1990-08-07,0.150000
1990-11-05,0.167500
1991-02-05,0.167500
1991-05-07,0.167500
1991-08-07,0.167500
1991-11-05,0.167500
1992-02-05,0.167500
1992-05-07,0.180000
1992-08-07,0.180000
1992-11-05,0.180000
1993-02-04,0.180000
1993-05-07,0.180000
1993-08-09,0.180000
1993-11-05,0.180000
1994-02-04,0.180000
1994-05-09,0.180000
1994-08-09,0.180000
1994-11-07,0.187500
1995-02-06,0.187500
1995-05-09,0.187500
1995-08-10,0.187500
1995-11-09,0.187500
1996-02-08,0.187500
1996-05-09,0.197500
1996-08-09,0.197500
1996-11-07,0.197500
1997-02-06,0.197500
1997-05-09,0.205000
1997-08-11,0.205000
1997-11-07,0.205000
1998-02-06,0.205000
1998-05-11,0.205000
1998-08-11,0.205000
1998-11-09,0.205000
1999-02-08,0.205000
1999-05-10,0.205000
1999-08-11,0.205000
1999-11-09,0.220000
2000-02-09,0.220000
2000-05-11,0.220000
2000-08-10,0.220000
2000-11-09,0.220000
2001-02-07,0.220000
2001-05-10,0.220000
2001-06-18,0.010000
2001-08-09,0.230000
2001-11-07,0.230000
2002-02-07,0.230000
2002-05-09,0.230000
2002-08-09,0.230000
2002-11-07,0.230000
2003-02-06,0.230000
2003-05-09,0.250000
2003-08-11,0.250000
2003-11-07,0.250000
2004-02-09,0.250000
2004-05-11,0.270000
2004-08-11,0.270000
2004-11-09,0.270000
2005-02-08,0.270000
2005-05-11,0.290000
2005-08-10,0.290000
2005-11-08,0.290000
2006-02-08,0.320000
2006-05-10,0.320000
2006-08-10,0.320000
2006-11-09,0.320000
2007-02-07,0.320000
2007-05-10,0.350000
2007-08-09,0.350000
2007-11-07,0.350000
2008-02-07,0.350000
2008-05-09,0.400000
2008-08-11,0.400000
2008-11-07,0.400000
2009-02-06,0.400000
2009-05-11,0.420000
2009-08-11,0.420000
2009-11-09,0.420000
2010-02-08,0.420000
2010-05-11,0.440000
2010-08-11,0.440000
2010-11-09,0.440000
2011-02-08,0.440000
2011-05-11,0.470000
2011-08-10,0.470000
2011-11-08,0.470000
2012-02-08,0.470000
2012-05-10,0.570000
2012-08-09,0.570000
2012-11-07,0.570000
2013-02-07,0.570000
2013-05-09,0.630000
2013-08-09,0.630000
2013-11-07,0.630000
2014-02-06,0.630000
2014-05-09,0.690000
2014-08-11,0.690000
2014-11-07,0.690000
2015-02-06,0.690000
2015-05-11,0.730000
2015-08-11,0.730000
2015-11-09,0.730000
2016-02-09,0.730000
2016-05-11,0.750000
2016-08-10,0.750000
2016-11-08,0.750000
2017-02-08,0.750000
2017-05-10,0.770000
2017-08-10,0.770000
2017-11-10,0.770000
2018-02-09,0.770000
2018-05-11,0.820000
2018-08-10,0.820000
2018-11-09,0.820000
2019-02-08,0.820000
2019-05-10,0.870000
2019-08-12,0.870000
2019-11-08,0.870000
2020-02-10,0.870000
2020-05-12,0.870000
2020-08-12,0.870000
2020-11-10,0.870000
2021-02-09,0.870000
2021-05-12,0.870000
2021-08-12,0.870000
